optimizer_updates,r2_theta1,r2_theta2
19900,0.03636988174544453,0.3306076290692891
20000,0.03402211496430885,0.3332919318328803
20100,0.03327405629431168,0.33664631370067133
20200,0.0318005560808563,0.3357195033672622
20300,0.029813271256849072,0.3337079144058219
20400,0.02933715961250183,0.3302249421675908
20500,0.01857418321523141,0.3209042601286277
20600,-0.005241968839068356,0.3048902772002814
20700,-0.03192047232135753,0.2895644995011566
20800,-0.051184468012636986,0.2593176950574889
20900,-0.05073121641146838,0.23813723204834303
21000,-0.04413559408057677,0.19830843147437915
21100,-0.026827202384986037,0.17288209182821512
21200,0.004987137938861186,0.14663864386117131
21300,0.033607887489969346,0.13785765597745503
21400,0.07368376191447401,0.133073864575614
21500,0.11206635335868265,0.14151480582275688
21600,0.1589672778865454,0.15780217850879708
21700,0.19437373611783004,0.17935789151881476
21800,0.2317010639367154,0.20967329532033707
21900,0.2668015368003216,0.23664899182424926
22000,0.3045957030410372,0.24963954267864108
22100,0.34517577839363334,0.2573953712440814
22200,0.39396092168116736,0.26058516669033127
22300,0.4313521849813311,0.2623115066048727
22400,0.45491930379525103,0.25407520979228615
22500,0.4657856423160134,0.24581837095804038
22600,0.4564465828942391,0.24407215901365142
22700,0.4407248880720087,0.24002696217207675
22800,0.42663939924098815,0.24308225439102127
22900,0.41717698195011754,0.24085253165802778
23000,0.4332068636123052,0.2601901612401737
23100,0.4611544921486178,0.26468056834888765
23200,0.4966927169645202,0.2718747308825463
23300,0.5244808233834117,0.276684773242435
23400,0.5420467987856985,0.28116754197082616
23500,0.5470892357369215,0.27265925899347676
23600,0.5428553431193406,0.26518431464631254
23700,0.5373433737334683,0.26216612071083045
23800,0.5255145007564156,0.27042773029621037
23900,0.5136136377504589,0.26752971720532825
24000,0.49253212198052,0.26259984202363595
24100,0.47453840808153247,0.2678529763256182
24200,0.4429457906014507,0.27610427246216696
24300,0.4316593793281729,0.2942907633557251
24400,0.4168208848858763,0.323188759342506
24500,0.42488262591271975,0.3526523475022294
24600,0.43439421054942107,0.3942928037730855
24700,0.4702266765333176,0.4288692689328041
24800,0.4894552685965431,0.4533393703427965
24900,0.5401947585648916,0.47863338727308036
25000,0.5747990002858588,0.5045242615736614
25100,0.6165879814691524,0.531590717715198
25200,0.6459888036665531,0.5603645600080094
25300,0.653144701219613,0.5732496983347095
25400,0.649085163486133,0.5763673680266852
25500,0.6422779522758697,0.5555050251394956
25600,0.6449177539824027,0.5440371608973831
25700,0.6569136319735025,0.5171899218434888
25800,0.6691982688439598,0.512509031932082
25900,0.6679771683664776,0.4916480346573564
26000,0.6721784633760914,0.49224974066939553
26100,0.6525900803798134,0.4888708248769502
26200,0.6509047606244267,0.5157066482922974
26300,0.6305962123046089,0.5337299778162587
26400,0.6145917918780888,0.5551729484942712
26500,0.5925681884655474,0.5587528279127613
26600,0.5726611513658627,0.5635212985320159
26700,0.5661097802619814,0.5668770784014764
26800,0.5523656031114643,0.56429282426142
26900,0.5615222056504487,0.5696725134930172
27000,0.5453771824489446,0.5675017753443843
27100,0.558036775063334,0.5883564174006712
27200,0.5355532226863258,0.5948367458663585
27300,0.5409589804503445,0.6167889871254703
