# Time(s) Theta1(rad) Theta2(rad)
1.250000000000000000e+00 2.097257657100531247e+00 -1.794663907738546782e-01
1.260000000000000009e+00 2.121260845390653849e+00 -1.401507809157299667e-01
1.270000000000000018e+00 2.143677773778750684e+00 -1.012902910648980082e-01
1.280000000000000027e+00 2.164509013136162174e+00 -6.295287755135056673e-02
1.290000000000000036e+00 2.183760005432725748e+00 -2.519878628730022607e-02
1.300000000000000044e+00 2.201440693468165843e+00 1.191926094002251219e-02
1.310000000000000053e+00 2.217565118642231603e+00 4.835582782257427659e-02
1.320000000000000062e+00 2.232150990559641279e+00 8.407247326053721159e-02
1.330000000000000071e+00 2.245219242520004155e+00 1.190374254423646472e-01
1.340000000000000080e+00 2.256793576730173001e+00 1.532252237420025087e-01
1.350000000000000089e+00 2.266900010511812891e+00 1.866163404888834254e-01
1.360000000000000098e+00 2.275566428947571662e+00 2.191967915617241136e-01
1.370000000000000107e+00 2.282822151408554046e+00 2.509577426024144908e-01
1.380000000000000115e+00 2.288697517221233824e+00 2.818951212354405267e-01
1.390000000000000124e+00 2.293223493241621114e+00 3.120092391864064396e-01
1.400000000000000133e+00 2.296431309857282610e+00 3.413044335940228491e-01
1.409999999999999920e+00 2.298352122373492623e+00 3.697887283618602750e-01
1.419999999999999929e+00 2.299016703512910986e+00 3.974735227208800459e-01
1.429999999999999938e+00 2.298455164631406422e+00 4.243733084212608642e-01
1.439999999999999947e+00 2.296696703714303567e+00 4.505054156359765138e-01
1.449999999999999956e+00 2.293769382698960690e+00 4.758897929904749025e-01
1.459999999999999964e+00 2.289699927771903454e+00 5.005488176636622155e-01
1.469999999999999973e+00 2.284513553066174207e+00 5.245071383498387529e-01
1.479999999999999982e+00 2.278233804779741689e+00 5.477915506307222682e-01
1.489999999999999991e+00 2.270882421368700665e+00 5.704309023080690322e-01
1.500000000000000000e+00 2.262479208944541575e+00 5.924560306347519401e-01
1.510000000000000009e+00 2.253041927104536768e+00 6.138997286474500159e-01
1.520000000000000018e+00 2.242586182675422091e+00 6.347967409854385901e-01
1.530000000000000027e+00 2.231125328305128885e+00 6.551837885964491015e-01
1.540000000000000036e+00 2.218670362113845496e+00 6.750996217459143134e-01
1.550000000000000044e+00 2.205229825422476253e+00 6.945851018500844853e-01
1.560000000000000053e+00 2.190809694981635580e+00 7.136833117925177605e-01
1.570000000000000062e+00 2.175413266070535201e+00 7.324396962057021510e-01
1.580000000000000071e+00 2.159041023004858229e+00 7.509022315851285878e-01
1.590000000000000080e+00 2.141690492655911271e+00 7.691216300248638893e-01
1.600000000000000089e+00 2.123356077612911896e+00 7.871515753651980862e-01
1.610000000000000098e+00 2.104028864325492520e+00 8.050489964268312537e-01
1.620000000000000107e+00 2.083696401874866933e+00 8.228743784321163046e-01
1.630000000000000115e+00 2.062342447657046662e+00 8.406921146192125605e-01
1.640000000000000124e+00 2.039946675409993748e+00 8.585709000263456181e-01
1.650000000000000133e+00 2.016484342242247152e+00 8.765841685808971606e-01
1.660000000000000142e+00 1.991925915937226010e+00 8.948105648846579330e-01
1.669999999999999929e+00 1.966236661559524368e+00 9.133344489017014567e-01
1.679999999999999938e+00 1.939376197202469454e+00 9.322464117185512711e-01
1.689999999999999947e+00 1.911298036743350526e+00 9.516437697492567960e-01
1.699999999999999956e+00 1.881949154269030089e+00 9.716309792911956844e-01
1.709999999999999964e+00 1.851269632079135308e+00 9.923198727499102922e-01
1.719999999999999973e+00 1.819192496968959238e+00 1.013829555084691192e+00
1.729999999999999982e+00 1.785643916414434207e+00 1.036285701665843995e+00
1.739999999999999991e+00 1.750544028842325073e+00 1.059818850838315063e+00
1.750000000000000000e+00 1.713808823167083606e+00 1.084561083007677507e+00
1.760000000000000009e+00 1.675353679683781793e+00 1.110640198179629445e+00
1.770000000000000018e+00 1.635099394691117647e+00 1.138170209867558569e+00
1.780000000000000027e+00 1.592981659370718006e+00 1.167236773408901529e+00
1.790000000000000036e+00 1.548964827219203366e+00 1.197876381834356074e+00
1.800000000000000044e+00 1.503059977190432939e+00 1.230049372986387946e+00
1.810000000000000053e+00 1.455345310913247481e+00 1.263609637843794875e+00
1.820000000000000062e+00 1.405983676605170762e+00 1.298278588634730779e+00
1.830000000000000071e+00 1.355228829461891937e+00 1.333635514598436433e+00
1.840000000000000080e+00 1.303412098960705423e+00 1.369136379417066118e+00
1.850000000000000089e+00 1.250907460166594820e+00 1.404164075618314911e+00
1.860000000000000098e+00 1.198083794730227636e+00 1.438097695555935029e+00
1.870000000000000107e+00 1.145260539382172427e+00 1.470377667152167556e+00
1.880000000000000115e+00 1.092680369392176720e+00 1.500547070060161303e+00
1.890000000000000124e+00 1.040502714828420050e+00 1.528263399046015270e+00
1.900000000000000133e+00 9.888130088627746783e-01 1.553287769550898645e+00
1.910000000000000142e+00 9.376394864277484142e-01 1.575463088334726924e+00
1.919999999999999929e+00 8.869709941832067956e-01 1.594690509106962084e+00
1.929999999999999938e+00 8.367723229248157368e-01 1.610909230683441606e+00
1.939999999999999947e+00 7.869959982765608597e-01 1.624081266129299594e+00
1.949999999999999956e+00 7.375907523958419310e-01 1.634180967376431814e+00
1.959999999999999964e+00 6.885073806283920073e-01 1.641188377307166490e+00
1.969999999999999973e+00 6.397027155393212317e-01 1.645085410840759765e+00
1.979999999999999982e+00 5.911423224009941801e-01 1.645854022795432803e+00
1.989999999999999991e+00 5.428023599419897760e-01 1.643475722661436045e+00
2.000000000000000000e+00 4.946709008790027839e-01 1.637931988060413513e+00
2.010000000000000231e+00 4.467489050031482889e-01 1.629205252446437546e+00
2.020000000000000018e+00 3.990509539699609309e-01 1.617280243144324281e+00
2.030000000000000249e+00 3.516058047883180993e-01 1.602145503064140941e+00
2.040000000000000036e+00 3.044567823150054475e-01 1.583794966030090956e+00
2.049999999999999822e+00 2.576620068980776113e-01 1.562229478922371628e+00
2.060000000000000053e+00 2.112944408729771628e-01 1.537458176737237725e+00
2.069999999999999840e+00 1.654417306045466440e-01 1.509499623366801213e+00
2.080000000000000071e+00 1.202058212968914186e-01 1.478382639065779491e+00
2.089999999999999858e+00 7.570232838129274666e-02 1.444146748930825730e+00
2.100000000000000089e+00 3.205965382629195892e-02 1.406842178781689157e+00
2.109999999999999876e+00 -1.058214280305615901e-02 1.366529363373142347e+00
2.120000000000000107e+00 -5.207269997918306109e-02 1.323277925182949621e+00
2.129999999999999893e+00 -9.225289692334510960e-02 1.277165110247490576e+00
2.140000000000000124e+00 -1.309565271838812328e-01 1.228273680851797112e+00
2.149999999999999911e+00 -1.680120301609966393e-01 1.176689283512590833e+00
2.160000000000000142e+00 -2.032441940902289523e-01 1.122497324000205632e+00
2.169999999999999929e+00 -2.364757294991007563e-01 1.065779394656719337e+00
2.180000000000000160e+00 -2.675286142216528606e-01 1.006609300313966893e+00
2.189999999999999947e+00 -2.962251115191819051e-01 9.450487309590444029e-01
2.200000000000000178e+00 -3.223883669369634886e-01 8.811426273688658384e-01
2.209999999999999964e+00 -3.458425105151495815e-01 8.149142815871799339e-01
2.220000000000000195e+00 -3.664122422467768758e-01 7.463602091154615259e-01
2.229999999999999982e+00 -3.839219209159302482e-01 6.754448791461605817e-01
2.240000000000000213e+00 -3.981943234985357849e-01 6.020954565104614797e-01
2.250000000000000000e+00 -4.090494260555575523e-01 5.261969432582028761e-01
2.260000000000000231e+00 -4.163039912254640207e-01 4.475885658992707627e-01
2.270000000000000018e+00 -4.197734668557104865e-01 3.660631917682085068e-01
2.280000000000000249e+00 -4.192790927566781289e-01 2.813733799577668448e-01
