optimizer_updates,r2_theta1,r2_theta2
5400,0.08542834597860038,0.08529532102049409
5500,0.08570002738823379,0.08559363277039822
5600,0.08598419492406473,0.08584555376810343
5700,0.08628145364342965,0.08607753842555943
5800,0.08658754507542088,0.08630757455488225
5900,0.08687410024420161,0.08652812951743516
6000,0.08713599677661876,0.08673981412459963
6100,0.08742229173836824,0.0869883208626171
6200,0.08775319900859269,0.08729282678357331
6300,0.08813748124246956,0.087658798878819
6400,0.08854242857285632,0.08805824449777944
6500,0.08895835484983106,0.0884827076989988
6600,0.08938310849600595,0.0889326792468067
6700,0.08989052537579945,0.0894381798365782
6800,0.0905555597495703,0.09003576265846724
6900,0.09123990640203772,0.09066415675332773
7000,0.09268638785830352,0.09190188025050428
7100,0.09343611430866428,0.09261303119116882
7200,0.0937181753970614,0.09292979539936175
7300,0.0941595945520205,0.0933117430755438
7400,0.0948247154750983,0.09402222596425092
7500,0.09537149194470051,0.09455533162031093
7600,0.0959264934394336,0.09511812334682967
7700,0.09646875746953998,0.09573817176181976
7800,0.09698049883195647,0.09640640114032173
7900,0.09767828452388339,0.09702300636026251
8000,0.09862343280048236,0.09760129749803714
8100,0.09930375442898387,0.09827994046266886
8200,0.10002390903367586,0.09899085016666509
8300,0.10078446324654744,0.09974203566061557
8400,0.10160713047659153,0.10063744212611136
8500,0.10233544210052814,0.10138773227778475
8600,0.10305459307048481,0.10210759831002214
8700,0.10375987081233606,0.10283957594894477
8800,0.10380937891860231,0.10294052968148926
8900,0.10437703179276636,0.10338797215162865
9000,0.10476119454935451,0.1037635097418671
9100,0.10524002227737805,0.10426975476587264
9200,0.10546801236121284,0.10458408341916359
9300,0.10539228513847776,0.10511596404077506
9400,0.10464545402813841,0.1041794384070116
9500,0.10493964004125023,0.10444923304644604
9600,0.10517314619833007,0.10469306021300162
9700,0.10546667454334568,0.10499515770690071
9800,0.10582094472660464,0.10534668233840272
9900,0.10632883820235617,0.10584583987189755
10000,0.10679584009847687,0.10630611391859457
10100,0.1072281961734548,0.10676265091571902
10200,0.10753491654261194,0.10709512957844203
10300,0.10793554824757845,0.1075195753425533
10400,0.10842608667518949,0.10804596777460784
10500,0.10873092878597479,0.10836917696647241
10600,0.10912071087089104,0.10884425929949226
10700,0.10954913057817195,0.10933404780683142
10800,0.10971388657682313,0.10949904602550753
10900,0.11000196422243125,0.10956963706584444
11000,0.10998222828220738,0.10985896501040204
11100,0.10895487355467492,0.10886563471563648
11200,0.1092146105218531,0.10920913392985909
11300,0.1096148419227625,0.10964943563921437
11400,0.11013591527469513,0.11017879233685768
11500,0.110764866844004,0.11078790805310046
11600,0.11128698927461511,0.11131845038354293
11700,0.11151782906180085,0.11163689794518994
11800,0.1117857654904083,0.11211102995858135
11900,0.11232496889596355,0.1126881330879752
12000,0.11283805108994394,0.11332699945070457
12100,0.11348135177385887,0.11404202610362368
12200,0.11419453213897979,0.11481803711064409
12300,0.11497767145418025,0.11566276185646318
12400,0.11729225915013186,0.1178193076553331
12500,0.11629369161619008,0.11682145455208914
12600,0.11696255827436142,0.1175194062010495
12700,0.11751259990270402,0.11812420780032051
12800,0.11808945931045955,0.11873711416756227
12900,0.11868593420974005,0.11936399161295463
13000,0.11930593250510013,0.1200122735305178
13100,0.11693273504860957,0.11966604543484838
13200,0.12014046605256101,0.12055200204233796
