Name: Double Pendulum Windowed Sine-feature PINN
Method: fixed sine-feature PINN; Levenberg-Marquardt; sequential windows
Data file: /Users/kien-macbook/Desktop/Github-Kien/PINNs/Double-Pendulum/double_pendulum_data.dat
Observed through: 4.99 s
Prediction end: 20.0 s
Data step: 10
Training samples: 51
Observation intervals per window: 1
Forecast evaluation interval: (4.99, 20.0] s
Seed: 0
Precision: torch.float64
Feature count: 16
Retained feature rank: 13
Forecast window: 0.025
Physics points: 33
Independent validation points: 66
Physics tolerance: 1e-10
Maximum evaluations per window: 200
Completed windows: 651
Training runtime: 00:00:04
Observed R2 theta1: 1.000000000
Observed R2 theta2: 1.000000000
R2 theta1 extrapolation: 0.680487661
R2 theta2 extrapolation: 0.002482432
Future reference labels are used for evaluation/plots only.
Observed windows assimilate measured boundary angles and estimate velocities.
Forecast boundaries inherit all four predicted state components, without measurement resets.

window start end observed evaluations data_loss validation_physics_loss optimizer_status
153 7.54000000 7.56500000 0 5 0.000000e+00 6.273553e-24 3
154 7.56500000 7.59000000 0 5 0.000000e+00 5.360878e-24 3
155 7.59000000 7.61500000 0 5 0.000000e+00 4.205071e-23 3
156 7.61500000 7.64000000 0 6 0.000000e+00 3.810632e-21 3
157 7.64000000 7.66500000 0 6 0.000000e+00 1.744010e-19 3
158 7.66500000 7.69000000 0 6 0.000000e+00 1.305176e-22 3
159 7.69000000 7.71500000 0 6 0.000000e+00 1.230928e-22 3
160 7.71500000 7.74000000 0 5 0.000000e+00 6.474764e-22 3
161 7.74000000 7.76500000 0 5 0.000000e+00 4.401598e-22 3
162 7.76500000 7.79000000 0 5 0.000000e+00 2.221289e-22 3
163 7.79000000 7.81500000 0 5 0.000000e+00 1.261334e-22 3
164 7.81500000 7.84000000 0 5 0.000000e+00 8.580752e-23 3
165 7.84000000 7.86500000 0 5 0.000000e+00 7.006989e-23 3
166 7.86500000 7.89000000 0 5 0.000000e+00 6.620305e-23 3
167 7.89000000 7.91500000 0 5 0.000000e+00 6.731777e-23 3
168 7.91500000 7.94000000 0 5 0.000000e+00 6.825613e-23 3
169 7.94000000 7.96500000 0 5 0.000000e+00 6.556890e-23 3
170 7.96500000 7.99000000 0 5 0.000000e+00 5.856967e-23 3
171 7.99000000 8.01500000 0 5 0.000000e+00 4.912691e-23 3
172 8.01500000 8.04000000 0 5 0.000000e+00 3.988473e-23 3
173 8.04000000 8.06500000 0 5 0.000000e+00 3.259279e-23 3
174 8.06500000 8.09000000 0 5 0.000000e+00 2.764747e-23 3
175 8.09000000 8.11500000 0 5 0.000000e+00 2.459185e-23 3
176 8.11500000 8.14000000 0 5 0.000000e+00 2.273017e-23 3
177 8.14000000 8.16500000 0 5 0.000000e+00 2.151871e-23 3
178 8.16500000 8.19000000 0 5 0.000000e+00 2.062180e-23 3
179 8.19000000 8.21500000 0 5 0.000000e+00 1.987904e-23 3
180 8.21500000 8.24000000 0 5 0.000000e+00 1.923085e-23 3
181 8.24000000 8.26500000 0 5 0.000000e+00 1.865614e-23 3
182 8.26500000 8.29000000 0 5 0.000000e+00 1.813792e-23 3
183 8.29000000 8.31500000 0 5 0.000000e+00 1.764223e-23 3
184 8.31500000 8.34000000 0 5 0.000000e+00 1.711817e-23 3
185 8.34000000 8.36500000 0 5 0.000000e+00 1.651454e-23 3
186 8.36500000 8.39000000 0 5 0.000000e+00 1.578784e-23 3
187 8.39000000 8.41500000 0 5 0.000000e+00 1.492144e-23 3
188 8.41500000 8.44000000 0 5 0.000000e+00 1.392727e-23 3
189 8.44000000 8.46500000 0 5 0.000000e+00 1.284097e-23 3
190 8.46500000 8.49000000 0 5 0.000000e+00 1.171300e-23 3
191 8.49000000 8.51500000 0 5 0.000000e+00 1.059376e-23 3
192 8.51500000 8.54000000 0 5 0.000000e+00 9.530267e-24 3
193 8.54000000 8.56500000 0 5 0.000000e+00 8.555094e-24 3
194 8.56500000 8.59000000 0 5 0.000000e+00 7.689565e-24 3
195 8.59000000 8.61500000 0 5 0.000000e+00 6.944061e-24 3
196 8.61500000 8.64000000 0 5 0.000000e+00 6.320949e-24 3
197 8.64000000 8.66500000 0 5 0.000000e+00 5.817538e-24 3
198 8.66500000 8.69000000 0 5 0.000000e+00 5.428188e-24 3
199 8.69000000 8.71500000 0 5 0.000000e+00 5.142804e-24 3
200 8.71500000 8.74000000 0 5 0.000000e+00 4.955102e-24 3
201 8.74000000 8.76500000 0 5 0.000000e+00 4.854880e-24 3
202 8.76500000 8.79000000 0 5 0.000000e+00 4.836328e-24 3
203 8.79000000 8.81500000 0 5 0.000000e+00 4.888779e-24 3
204 8.81500000 8.84000000 0 5 0.000000e+00 5.004604e-24 3
205 8.84000000 8.86500000 0 5 0.000000e+00 5.172704e-24 3
206 8.86500000 8.89000000 0 5 0.000000e+00 5.380404e-24 3
207 8.89000000 8.91500000 0 5 0.000000e+00 5.613858e-24 3
208 8.91500000 8.94000000 0 5 0.000000e+00 5.860275e-24 3
209 8.94000000 8.96500000 0 5 0.000000e+00 6.105768e-24 3
210 8.96500000 8.99000000 0 5 0.000000e+00 6.347851e-24 3
211 8.99000000 9.01500000 0 5 0.000000e+00 6.592116e-24 3
212 9.01500000 9.04000000 0 5 0.000000e+00 6.861672e-24 3
213 9.04000000 9.06500000 0 5 0.000000e+00 7.192677e-24 3
214 9.06500000 9.09000000 0 5 0.000000e+00 7.617770e-24 3
215 9.09000000 9.11500000 0 5 0.000000e+00 8.140263e-24 3
