optimizer_updates,r2_theta1,r2_theta2
12301,0.9271739435654817,0.9275655024490814
12401,0.9283186901218818,0.9286936563236506
12501,0.9295520758499025,0.9299093421717765
12601,0.9308732068885892,0.9312121353064565
12701,0.9322716952112557,0.932591640879146
12801,0.9337362273309684,0.9340367792813552
12901,0.9352536571531985,0.9355345774670175
13001,0.9368081604442028,0.9370695030577366
13101,0.9383825435137821,0.9386246138324061
13201,0.9399599726390495,0.9401832587240085
13301,0.9415230804930445,0.9417281647804526
13401,0.9430165735613273,0.9432056519206061
13501,0.943951800997587,0.9441360664937992
13601,0.9450147178097053,0.9451875501868955
13701,0.9461926373397849,0.9463519805326759
13801,0.947413073548552,0.9475597798573402
13901,0.9486935219243426,0.9488267142309861
14001,0.9500233396707872,0.9501432690809279
14101,0.9513814244885614,0.9514877610284788
14201,0.9527458763745996,0.9528383959418991
14301,0.9541076189387284,0.9541865845482712
14401,0.9554762919890921,0.955540465584625
14501,0.9567694040262638,0.9568163467212436
14601,0.9579218910115646,0.9579619098901235
14701,0.95899654626313,0.9590241041623107
14801,0.9600303645299103,0.9600467662661465
14901,0.9609388152745715,0.9609436305999551
15001,0.9614915491163181,0.9614881226395593
15101,0.9621150380416693,0.9621049473200367
15201,0.962810167902903,0.9627930450175632
15301,0.9635630932547993,0.963538832449601
15401,0.9643566936401635,0.9643250787892546
15501,0.9651815008712176,0.9651425537643804
15601,0.9660183858209159,0.9659727729634766
15701,0.9668492318890541,0.9667970265540055
15801,0.9676652670983487,0.9676066132835625
15901,0.9684664129065914,0.9684016137354733
16001,0.9692522186689347,0.9691815205397482
16101,0.9700221721529736,0.9699459185751292
16201,0.9707766771485129,0.9706951536794662
16301,0.9715158964681305,0.9714294998301332
16401,0.9718814318912083,0.9718078186829091
16501,0.9721379916649799,0.9720733359655954
16601,0.9724578286247827,0.9723749866318324
16701,0.9728943521582097,0.9728027131761998
16801,0.9733553618109624,0.9732601874919565
16901,0.9738519266696578,0.9737535178031873
17001,0.9743804380806251,0.9742789231528745
17101,0.974935518567013,0.974830854672046
17201,0.9755104335223791,0.9754026651186111
17301,0.9760955999975028,0.9759847413320266
17401,0.9766783263274558,0.9765644662431529
17501,0.97724845564594,0.9771317735165932
17601,0.977801937213256,0.9776826294680652
17701,0.9783389493818535,0.978217297813727
17801,0.9788632300813895,0.9787363858115005
17901,0.9792291444767177,0.9790995895963862
18001,0.9795465419016793,0.9794165807655593
18101,0.9799033480678923,0.979772112709891
18201,0.9802927444390819,0.9801602137924891
18301,0.9807048665448311,0.9805709107058028
18401,0.9811311192531936,0.9809960306583133
18501,0.9815649374536591,0.9814290535199797
18601,0.9819991314151083,0.9818625949973787
18701,0.9824300905153505,0.982292977837598
18801,0.9828542679074976,0.9827166910672539
18901,0.9832726321035348,0.9831346548610157
19001,0.9836902019142671,0.9835523454488645
19101,0.9841085777369603,0.9839750673324955
19201,0.9845192343446133,0.9843804022621222
19301,0.9848844280987219,0.9847484498432277
19401,0.9850655465952513,0.9849312939985989
19501,0.9852537062722251,0.9851189604713279
19601,0.985466969386211,0.9853320692338509
19701,0.9857020308471346,0.9855672327060138
19801,0.9859560675361937,0.9858214830898471
19901,0.9862267065685552,0.9860926370310609
20001,0.9865080078618989,0.9863749431632767
20101,0.9867282711087835,0.9865923270068685
20201,0.9868824679087476,0.9867462428542555
20301,0.9870484409779392,0.9869123193910568
20401,0.9872267872513184,0.9870908134597501
20501,0.9874168760806402,0.9872811181471175
20601,0.9876176486189824,0.9874821593579058
20701,0.987827856216866,0.9876927221197328
20801,0.9880461608472189,0.9879114603439318
20901,0.9882709130343218,0.988136730439867
21001,0.988500158305541,0.9883666112166233
21101,0.9887316032349108,0.9885987914279384
21201,0.9889626916979618,0.9888307125554218
21301,0.9891511751044291,0.9890204841162076
21401,0.9892850184912775,0.9891549400704817
21501,0.9894391167961174,0.9893097412022509
21601,0.9896109955330319,0.989482483762261
21701,0.9897973774873429,0.9896698275292325
21801,0.9899928395317967,0.9898663393525868
21901,0.9901966238340844,0.9900713299654118
22001,0.9904051229743447,0.9902810515617687
22101,0.9906157709645077,0.9904929663063764
22201,0.9908275041689437,0.9907061258428423
22301,0.9910397308217559,0.9909195434641064
22401,0.9912286456575291,0.9911099733873071
22501,0.9914037297109297,0.9912862284403379
22601,0.9915689165963679,0.9914525658472816
22701,0.9917312798640326,0.9916161569652306
22801,0.991865759330322,0.9917510656015157
22901,0.9919201081499642,0.9918056409857113
23001,0.9919822170199816,0.9918676694225402
23101,0.9920610053185283,0.9919490675232604
23201,0.9921446621299416,0.9920324380057324
23301,0.9922363131533052,0.9921248638476792
23401,0.9923340934732441,0.9922234172504779
23501,0.9924375023117304,0.992327680981015
23601,0.9925461708293852,0.9924372709716958
23701,0.9926596987027009,0.9925518001082224
23801,0.9927775769737479,0.9926707473875588
23901,0.9928991761363599,0.9927934783870431
24001,0.9929916583815878,0.9928858692035272
24101,0.9930631954486475,0.992958596108794
24201,0.9931450547304004,0.9930411640687454
24301,0.9932362172222045,0.993133122817575
24401,0.9933350987272935,0.993232881748975
24501,0.9934399113263581,0.9933386182443499
24601,0.9935494294648849,0.9934491533219497
24701,0.9936615451691521,0.9935623437239126
24801,0.9937747729621422,0.9936767099221316
24901,0.9938884896072481,0.9937915855102163
25001,0.9940023015853193,0.9939065655011826
25101,0.9941162196948625,0.9940216884800744
25201,0.9942313326749039,0.994138037792356
25301,0.9943482538489672,0.9942566826102509
25401,0.9944610900726918,0.9943702790082959
25501,0.9945515917618029,0.9944622226635935
25601,0.9946032702606402,0.9945146043670604
25701,0.9946629373716549,0.994574980002241
25801,0.9947296357075648,0.9946425019056677
25901,0.9948023709786724,0.9947161593738642
26001,0.9948800442101972,0.9947948174923547
26101,0.9949619476895305,0.9948778234233008
26201,0.9950463578875761,0.9949633781563118
26301,0.9951309606906955,0.9950491369592938
26401,0.9952145399322556,0.995133868960052
26501,0.9952973044192804,0.9952177944143389
26601,0.995380580651443,0.9953022924677314
26701,0.99546506616472,0.9953878739486941
26801,0.9955433803516291,0.9954672036162274
26901,0.9956137896115909,0.9955392195897693
27001,0.9956579763975955,0.9955837407649035
27101,0.9956861263254342,0.9956122677084328
27201,0.9957184567805271,0.9956450728985302
27301,0.9957545326931899,0.9956816732033044
27401,0.9957940609258218,0.9957217706837652
27501,0.9958368445038662,0.995765157929105
27601,0.9958825820540462,0.995811556005058
27701,0.9959310374483885,0.9958607214594619
27801,0.9959818985286283,0.995912342267098
27901,0.9960347121128551,0.9959659485451151
28001,0.9960888618293379,0.9960209284598914
28101,0.996143754748127,0.9960766756793055
28201,0.9961990448675617,0.996132818121971
28301,0.9962544948544436,0.9961891404060064
28401,0.9962973136416265,0.99623482833351
28501,0.9963185339055823,0.9962548377688137
28601,0.9963403410582564,0.9962774352980676
28701,0.9963682461710001,0.9963066256238455
28801,0.9964056843476364,0.9963432017841168
28901,0.9964437255654618,0.9963818595744164
29001,0.9964844187002831,0.9964232849058102
29101,0.9965276681085513,0.9964673339133984
29201,0.9965731560178064,0.9965136644543658
29301,0.996620416858173,0.9965618227296568
29401,0.9966687244988565,0.9966110473385602
29501,0.9967171373204858,0.9966603792556675
29601,0.9967649886061586,0.9967091682568865
29701,0.9968121643487863,0.996757284195766
29801,0.9968587997714069,0.9968048137826212
29901,0.996898503932413,0.9968436448417513
30001,0.9969190560404313,0.9968659696164808
30101,0.9969412569925443,0.9968887947462479
30201,0.9969617314624148,0.9969096807998351
30301,0.9969843901765952,0.9969327756993345
30401,0.9970089888368531,0.9969578436780133
30501,0.9970354820114343,0.99698484087909
30601,0.99706372435204,0.9970136143308779
30701,0.9970935454389109,0.9970440054934314
30801,0.9971247482089446,0.9970758041895801
30901,0.9971570472818433,0.9971087260884716
31001,0.9971900948187622,0.9971424177800475
31101,0.9972234703673168,0.9971764503127631
31201,0.9972569076516516,0.9972105520569524
31301,0.9972903320932792,0.9972446429664515
31401,0.9973130079880844,0.997267812570599
31501,0.9973326810438204,0.9972879054842804
31601,0.997355315115295,0.9973110128734997
31701,0.9973804569529067,0.9973366899938559
31801,0.9974076873868535,0.9973645109696805
31901,0.9974365327667539,0.997393998201997
32001,0.9974666545783882,0.9974247959152428
32101,0.9974974232719372,0.9974562715777546
32201,0.9975283070195567,0.9974878760629456
32301,0.997558912023366,0.9975192145385623
32401,0.9975888858694812,0.9975499303102495
32501,0.9976184923765211,0.9975802769446775
32601,0.9976481868619741,0.9976107174667004
32701,0.9976759682568681,0.9976392317776023
32801,0.9977011757604803,0.9976651586220817
32901,0.9977154827906213,0.9976798434281873
33001,0.997723927103162,0.9976885412293532
33101,0.9977337286295795,0.9976986107125037
33201,0.9977447630284143,0.9977099348111967
33301,0.9977569439566001,0.9977224301590694
33401,0.9977701770866757,0.9977359948665866
33501,0.9977844447527041,0.9977506214188933
33601,0.9977997053368868,0.9977662597795327
33701,0.9978159103531968,0.9977828625742179
33801,0.9978330061972991,0.9978003800799661
33901,0.9978509317054487,0.997818741805988
34001,0.9978695880432139,0.99783785917605
34101,0.9978888273849362,0.9978575739547142
34201,0.9979084781418753,0.9978777098046853
34301,0.9979278593946096,0.9978979580433958
34401,0.9979400339596151,0.9979101258733531
34501,0.9979527110002664,0.9979231223016468
34601,0.9979669743311607,0.9979377610502795
34701,0.9979825565158205,0.9979537565836749
34801,0.9979991271149615,0.9979707758645854
34901,0.9980164788075786,0.9979886047686617
35001,0.9980342266948403,0.9980068262877175
35101,0.9980488405964947,0.9980219080685937
35201,0.9980619020457807,0.9980353887440734
35301,0.9980756322637437,0.9980495569059302
35401,0.9980899326647129,0.9980643177080525
35501,0.9981046803329213,0.9980795437799854
35601,0.9981207946666897,0.9980962184579216
35701,0.9981297331690512,0.9981053927351833
35801,0.9981393397443248,0.9981152934550175
35901,0.9981500560633728,0.9981263319377446
36001,0.9981616863857783,0.9981383089966283
36101,0.9981739763112896,0.9981509583636577
36201,0.9981868687141133,0.9981642316444551
36301,0.9982001055368493,0.998177862917673
36401,0.9982134225559373,0.9981915816024712
36501,0.9982266801591089,0.9982052379159584
36601,0.9982398369641219,0.9982187928057976
36701,0.9982528814154122,0.9982322392148767
36801,0.9982658093502417,0.9982455640530644
36901,0.9982786291876863,0.9982587784240574
37001,0.9982906994543329,0.9982712236271857
37101,0.9982978711701131,0.9982786211834055
37201,0.9983060796394371,0.9982870908327994
37301,0.9983152687883197,0.9982965733567074
37401,0.9983252783907749,0.9983069102529469
37501,0.9983359147313003,0.9983178962497584
37601,0.9983469996168426,0.9983293551363651
37701,0.998358308713464,0.9983410577322155
37801,0.9983695792806017,0.9983527321605224
37901,0.9983806026762405,0.9983641601019904
38001,0.998391237341857,0.9983752010068785
38101,0.9984014585031837,0.9983858265827882
38201,0.9984112847701597,0.9983960523234513
38301,0.9984207915631572,0.998405951341276
38401,0.9984300092602801,0.9984155587824812
38501,0.9984365323030603,0.9984223740183613
38601,0.9984418480218032,0.9984278884157058
38701,0.9984479552216388,0.9984342258826923
38801,0.9984547860541421,0.9984413135577533
38901,0.9984621955912093,0.9984489964697721
39001,0.998469923888212,0.9984570082000019
39101,0.9984779396737705,0.998465322860713
39201,0.9984861255940203,0.9984738108273311
39301,0.998494428024196,0.9984824213027467
39401,0.9985028416058707,0.9984911502798567
39501,0.9985114995962449,0.9985001357395685
39601,0.9985199806488723,0.99850893834816
39701,0.9985277338887455,0.9985169996799945
39801,0.9985351001180778,0.9985246546279495
39901,0.9985423555365252,0.9985322003289545
40001,0.9985471326772892,0.9985371744386475
40101,0.9985514953148902,0.9985417086275086
